word,label,score
therapy,positive,0.02991775639675401
you,positive,0.024305309915526152
do,positive,0.020517553200746136
were,positive,0.020134210067984826
now,positive,0.019769097609802444
help,positive,0.016737400930738174
seek,positive,0.016737400930738174
going,positive,0.014560792036968789
triggered,positive,0.014014346412848086
they,positive,0.014014346412848086
still,positive,0.012277533126444088
to,positive,0.011712564308900192
what,positive,0.011011262586450937
since,positive,0.010919731909146784
sort,positive,0.010919731909146784
that,positive,0.010907464508144893
why_seek_help,positive,0.01064130517613293
stop,positive,0.010633149214489115
ellie17dec2012_03,positive,0.010596147374619886
go,positive,0.010236239364271814
long,positive,0.009819092113821423
how,positive,0.009535891996443113
therapy_going,positive,0.009305001913089838
when_diagnosed,positive,0.009124274471715339
are,positive,0.00897181368501987
useful,positive,0.008741719551883423
re,positive,0.008574650254312552
annoyed,positive,0.008510988000144201
being,positive,0.00842390798770592
yes,positive,0.008354668160850277
parent,positive,0.007597272955651026
ago,positive,0.006959407899179641
thing,positive,0.006815533765480117
sorry,positive,0.0067377425769970835
got,positive,0.006668506893611736
sounds,positive,0.006563762971989424
problem,positive,0.006541852597078346
before,positive,0.006541852597078346
out,positive,0.006541852597078346
found,positive,0.006541852597078346
interesting,positive,0.00652622572275885
stop_going,positive,0.006223152458865366
cope,positive,0.006150662398008091
did,positive,0.006049972109980414
trigger,positive,0.005975109625743014
was,positive,0.005920505215512482
helping,positive,0.005795830263294978
introvert,positive,0.0056391691716468125
therapy_useful,positive,0.00525387813959422
hard,positive,0.005098514660870208
mad,positive,0.005023695200241337
therapy_changes,positive,0.005000557086083231
bouts_symptoms,positive,0.004842765305059583
served,positive,0.004755629592042834
too_hard,positive,0.00466264956908922
symptoms,positive,0.004451046662663447
trade_offs,positive,0.004286330207867901
say,positive,0.00420405685379794
happened,positive,0.0039800457589483605
right2,positive,0.0038308945799000035
hmmb,positive,0.003717790599761467
hmm,positive,0.003685022466103952
okay,positive,0.0036681501752928447
working,positive,0.0036414456900684643
young,positive,0.003606398187176474
very,positive,0.003606398187176474
yeah,positive,0.0035609035311887915
little,positive,0.003512212220439355
why,positive,0.003455202582044504
maybe,positive,0.003210959104824128
no,positive,0.0031981448697424577
disturbing,positive,0.003143333696189288
them,positive,0.0031137104588664227
think,positive,0.00310015417006276
been_hard,positive,0.0030849207625910386
by,positive,0.003076351440564404
military,positive,0.0030284987660169974
qualities,positive,0.002928107270433744
back_later,positive,0.0029071345913223696
when,positive,0.002874868357407176
hmm1,positive,0.002861590906601704
therapist,positive,0.002848618605241573
kids,positive,0.0027912198559990452
be,positive,0.002694928065037499
find,positive,0.002694928065037499
offs,positive,0.002639690608730078
trade,positive,0.002639690608730078
is,positive,0.002630257334975551
ve,positive,0.002567489850667473
see,positive,0.0025655208064560807
changes,positive,0.002531344155919874
noticed,positive,0.002531344155919874
job_virtually,positive,0.0024856576525996584
almost,positive,0.0024856576525996584
virtually,positive,0.0024856576525996584
come,positive,0.0024687982599981484
let,positive,0.0024687982599981484
sucks,positive,0.0024457956192759887
recently,positive,0.002375556129600876
enjoyed,positive,0.002375556129600876
